大分類,商品ID,売上
"食品",9918621,1323
"食品",9918335,9058
"食品",9938828,47504
"食品",9934239,10577
"バッグ",9904167,16590
"化粧品",9909554,5925
"化粧品",9914865,36866
"食品",9905446,16097
"化粧品",9917613,670
"食品",9901180,1333
"化粧品",9903267,15157
"化粧品",9905419,46200
"バッグ",9910030,16046
"バッグ",9924720,5270
"化粧品",9901434,44216
"化粧品",9914811,5100
"食品",9901035,1647
"食品",9925510,1755
"食品",9921935,549
"化粧品",9930714,1769
"食品",9921691,3332
"化粧品",9920757,300
"化粧品",9909012,6332
"バッグ",9916515,3597
"化粧品",9910450,2412
"バッグ",9908330,16986
"食品",9933919,1938
"食品",9938833,3876
"食品",9938832,5717
"化粧品",9908837,3668
"バッグ",9909296,6280
"食品",9938834,1547
"バッグ",9907433,15068
"食品",9914723,3094
"化粧品",9938835,27410
"化粧品",9900602,5840
"化粧品",9938843,24900
"化粧品",9916305,6758
"化粧品",9909386,22941
"化粧品",9902530,16308
"化粧品",9933698,3690
"化粧品",9927583,4580
"化粧品",9918131,3333
"化粧品",9909278,5332
"化粧品",9917732,3249
"化粧品",9919148,3736
"食品",9938846,2864
"バッグ",9938853,4000
"食品",9903840,56
"食品",9901861,430
"食品",9938847,2384
"化粧品",9924064,720
"化粧品",9938862,2013
"バッグ",9928735,2890
"バッグ",9938851,1114
"バッグ",9938859,14500
"バッグ",9920123,6300
"バッグ",9938855,966
"バッグ",9938858,1170
"化粧品",9923948,3858
"化粧品",9935437,5814
"化粧品",9935438,1938
"化粧品",9905589,1794
"化粧品",9900225,1504
"食品",9904234,12115
"食品",9915205,18177
"食品",9912310,7269
"食品",9909613,18477
"バッグ",9902434,20148
"化粧品",9907233,5577
"化粧品",9925273,2186
"化粧品",9913146,33300
"化粧品",9910924,4440
"化粧品",9911632,5841
"化粧品",9900891,11132
"化粧品",9928740,437
"化粧品",9906684,1016
"化粧品",9938879,8700
"化粧品",9912328,1900
"化粧品",9912331,1400
"バッグ",9932980,1349
"食品",9938881,1580
"食品",9910629,9605
"食品",9910564,10205
"バッグ",9916098,50612
"食品",9909423,7418
"食品",9938882,4317
"食品",9924562,3208
"バッグ",9936387,276
"食品",9915484,3971
"食品",9911591,3775
"食品",9923290,3192
"化粧品",9909240,13193
"食品",9909154,6066
"化粧品",9938883,8483
"化粧品",9902822,80905
"化粧品",9908144,112
"化粧品",9911152,21375
"化粧品",9913937,10064
"化粧品",9904898,1760
"食品",9909172,34800
"化粧品",9926316,7150
"化粧品",9931419,560
"化粧品",9900924,15161
"バッグ",9902219,25502
"バッグ",9911542,1666
"バッグ",9912134,9062
"化粧品",9915668,3522
"化粧品",9908040,696
"化粧品",9905048,45974
"食品",9902839,932
"化粧品",9919727,14721
"化粧品",9910881,12000
"化粧品",9902777,3300
"バッグ",9902020,400
"バッグ",9938892,4798
"バッグ",9938890,300
"バッグ",9938889,300
"化粧品",9911777,260
"化粧品",9900805,290
"化粧品",9900801,566
"バッグ",9931906,762
"食品",9917942,20295
"化粧品",9927246,3686
"バッグ",9915051,2500
"バッグ",9922777,975
"バッグ",9931247,1500
"バッグ",9911584,975
"バッグ",9922457,1000
"化粧品",9938896,6723
"化粧品",9938897,5025
"化粧品",9915781,710
"化粧品",9938895,1104
"化粧品",9910607,1410
"化粧品",9901601,63000
"化粧品",9915616,9992
"バッグ",9921107,3850
"バッグ",9909295,6792
"バッグ",9903615,8084
"バッグ",9903573,4854
"バッグ",9903796,41720
"バッグ",9901587,2900
"バッグ",9918156,2000
"化粧品",9925421,1444
"食品",9906678,71340
"バッグ",9912732,43975
"化粧品",9934823,4146
"バッグ",9904624,3600
"化粧品",9909743,298
"化粧品",9902134,1773
"化粧品",9910181,3071
"化粧品",9910692,2520
"食品",9938911,750
"化粧品",9912845,24083
"バッグ",9938910,6162
"バッグ",9938908,3518
"バッグ",9938907,2471
"バッグ",9938909,4854
"バッグ",9917515,780
"化粧品",9914950,10500
"バッグ",9938906,1506
"食品",9906251,220
"化粧品",9921585,49528
"化粧品",9938912,1400
"バッグ",9910180,19462
"バッグ",9904622,10176
"バッグ",9906837,8655
"化粧品",9910985,1038
"食品",9929271,13181
"化粧品",9938920,215
"化粧品",9925416,2067
"バッグ",9912506,2560
"化粧品",9906155,13560
"化粧品",9903483,22808
"食品",9938924,3861
"化粧品",9938923,1046
"化粧品",9913410,12296
"食品",9938925,1980
"バッグ",9905874,2206
"バッグ",9907660,300
"化粧品",9903413,3320
"化粧品",9913827,9600
"食品",9901938,18960
"化粧品",9919461,186000
"化粧品",9905924,26400
"化粧品",9930658,124
"化粧品",9904321,2980
"化粧品",9910086,28050
"化粧品",9918375,39031
"化粧品",9911875,2556
"化粧品",9901427,1479
"化粧品",9902502,743
"バッグ",9916221,364
"バッグ",9900150,1252
"食品",9938937,580
"バッグ",9902449,6249
"バッグ",9900753,710
"化粧品",9902535,112
"バッグ",9905348,40374
"バッグ",9900361,53544
"バッグ",9918207,5109
"化粧品",9908032,1973
"化粧品",9904566,400
"バッグ",9922249,14751
"バッグ",9902437,13080
"バッグ",9912535,2945
"バッグ",9912529,1477
"食品",9906668,4226
"化粧品",9929984,29580
"化粧品",9924243,10740
"食品",9920556,6612
"バッグ",9912646,7624
"バッグ",9902197,26250
"食品",9911185,4418
"バッグ",9906996,4713
"化粧品",9900076,1552
"化粧品",9931136,10800
"化粧品",9906074,3477
"化粧品",9921578,1859
"化粧品",9903094,9109
"化粧品",9938944,2144
"化粧品",9904109,14756
"化粧品",9920881,3566
"バッグ",9904262,121168
"化粧品",9912100,550
"食品",9901077,212240
"化粧品",9938954,1615
"バッグ",9907256,6602
"バッグ",9938948,15048
"食品",9916112,14936
"食品",9922116,4653
"化粧品",9916894,1020
"食品",9904687,2670
"食品",9901963,57351
"化粧品",9912380,19800
"食品",9915623,15052
"食品",9902723,10880
"食品",9909725,2180
"化粧品",9906883,34653
"食品",9902720,8592
"食品",9902718,10840
"食品",9938963,2180
"化粧品",9909615,8673
"食品",9904235,9692
"食品",9911846,3999
"化粧品",9907241,6048
"化粧品",9912536,5960
"食品",9938972,11049
"食品",9938971,3342
"食品",9938969,2738
"食品",9938970,12433
"バッグ",9938968,7102
"食品",9938967,13602
"バッグ",9921064,8600
"食品",9938973,9657
"化粧品",9911889,2100
"食品",9907938,7200
"食品",9909610,18529
"食品",9911768,10664
"食品",9911770,7269
"食品",9911769,9692
"食品",9920211,7499
"食品",9909717,3608
"化粧品",9900793,16602
"食品",9924828,1758
"食品",9905471,16228
"化粧品",9938977,2200
"バッグ",9916570,25875
"バッグ",9908464,2897
"食品",9903643,9081
"食品",9938982,3571
"バッグ",9922702,300
"化粧品",9912638,3209
"化粧品",9906568,154
"化粧品",9901330,58
"化粧品",9903984,176
"食品",9919343,1789
"食品",9938984,3895
"食品",9937224,1845
"食品",9914408,1845
"食品",9919342,3690
"食品",9938983,1722
"食品",9932529,1845
"バッグ",9914977,3675
"食品",9932231,4485
"食品",9904596,1519
"食品",9931727,1615
"食品",9931725,615
"化粧品",9900216,35922
"食品",9910523,1896
"食品",9917909,10091
"化粧品",9902236,1798
"化粧品",9906744,114750
"化粧品",9924368,5070
"食品",9915935,771
"化粧品",9906569,10770
"化粧品",9913414,15920
"化粧品",9907598,7095
"化粧品",9933633,13700
"化粧品",9910190,609
"バッグ",9908094,32643
"化粧品",9925253,47580
"化粧品",9900327,1595
"化粧品",9902773,2678
"化粧品",9923820,133380
"食品",9910132,23520
"バッグ",9909143,21691
"バッグ",9928929,5452
"バッグ",9923773,3848
"化粧品",9905915,1200
"化粧品",9903944,3100
"化粧品",9903673,1377
"化粧品",9914119,420
"バッグ",9938995,500
"食品",9910525,47967
"化粧品",9904238,6247
"化粧品",9904240,9397
"化粧品",9904243,9450
"化粧品",9904245,13492
"化粧品",9904244,8345
"化粧品",9904242,1050
"化粧品",9904241,7295
"食品",9908980,2819
"食品",9915069,1656
"食品",9937814,3106
"食品",9913953,11130
"食品",9905252,277
"食品",9929923,2530
"食品",9922911,2326
"食品",9922912,2646
"食品",9938996,4173
"食品",9906368,20255
"食品",9938999,290
"食品",9922908,1039
"化粧品",9910404,10242
"化粧品",9918538,25050
"化粧品",9915941,181
"バッグ",9915554,3844
"バッグ",9921623,12974
"バッグ",9931015,3071
"化粧品",9915452,6600
"食品",9904763,42840
"化粧品",9911155,6600
"化粧品",9904275,19800
"化粧品",9939008,2200
"化粧品",9908529,2646
"化粧品",9910767,4200
"化粧品",9917403,359
"バッグ",9903250,2667
"化粧品",9915650,5526
"バッグ",9915194,2246
"化粧品",9904100,2624
"化粧品",9919505,7500
"バッグ",9911475,3676
"食品",9911265,630
"化粧品",9910926,1920
"化粧品",9912065,250
"化粧品",9910668,17573
"化粧品",9939010,2200
"化粧品",9929152,171
"バッグ",9905389,23127
"化粧品",9926492,215
"バッグ",9918531,1410
"化粧品",9903301,10800
"化粧品",9910837,695
"化粧品",9939016,3780
"バッグ",9902819,3000
"化粧品",9919026,5006
"化粧品",9900084,472
"化粧品",9907562,15400
"化粧品",9902800,500
"化粧品",9924148,270
"食品",9906694,2794
"化粧品",9906723,52080
"化粧品",9917431,28725
"化粧品",9901146,10450
"化粧品",9916627,4740
"化粧品",9913739,1280
"化粧品",9905454,22431
"化粧品",9918347,2769
"化粧品",9906425,5693
"バッグ",9913724,4692
"食品",9939022,1939
"食品",9916962,24472
"化粧品",9939026,1657
"食品",9939023,8170
"食品",9939024,10979
"化粧品",9939025,6451
"化粧品",9939027,24510
"化粧品",9900618,40755
"化粧品",9917071,50310
"化粧品",9902845,4227
"化粧品",9914497,13930
"化粧品",9902849,1687
"化粧品",9939028,5400
"化粧品",9902144,1960
"化粧品",9928770,3381
"化粧品",9906181,5521
"バッグ",9924496,500
"バッグ",9936476,500
"バッグ",9924487,1500
"バッグ",9925928,500
"バッグ",9904936,1000
"バッグ",9924486,975
"バッグ",9912140,500
"バッグ",9929267,500
"バッグ",9924498,500
"バッグ",9911582,6425
"バッグ",9939042,475
"バッグ",9920965,3259
"バッグ",9910978,475
"バッグ",9939039,475
"バッグ",9911057,1975
"食品",9916389,10770
"食品",9939037,5440
"化粧品",9904809,7877
"化粧品",9932003,1050
"化粧品",9939051,1920
"化粧品",9929633,17577
"化粧品",9917028,3876
"バッグ",9918572,29100
"食品",9907110,2329
"化粧品",9932893,15191
"バッグ",9932577,400
"バッグ",9935882,800
"化粧品",9901802,21904
"化粧品",9906909,2841
"バッグ",9925631,400
"食品",9905275,676
"バッグ",9910946,2693
"化粧品",9919581,1180
"化粧品",9937587,2021
"バッグ",9901325,8246
"化粧品",9905578,2611
"化粧品",9912435,8970
"化粧品",9912484,644
"化粧品",9909122,22000
"バッグ",9901732,23373
"バッグ",9924826,19950
"食品",9901770,2647
"バッグ",9906391,6975
"化粧品",9903906,82225
"化粧品",9907615,10355
"食品",9910173,2197
"バッグ",9904312,38080
"化粧品",9920054,113562
"化粧品",9915789,4960
"バッグ",9900558,2092
"バッグ",9939070,9789
"化粧品",9909560,6700
"化粧品",9908668,10650
"化粧品",9905681,5500
"食品",9909456,6811
"バッグ",9932468,1541
"化粧品",9908987,2720
"化粧品",9922867,5681
"化粧品",9904610,23086
"化粧品",9911674,12000
"食品",9913687,10469
"食品",9939074,5021
"化粧品",9904684,12561
"化粧品",9922574,280
"化粧品",9909283,73500
"バッグ",9917001,7650
"食品",9902906,28640
"化粧品",9923410,2262
"化粧品",9931595,8400
"化粧品",9908855,800
"化粧品",9929305,13200
"化粧品",9939075,8940
"バッグ",9909933,54372
"化粧品",9911675,2618
"化粧品",9938077,1500
"化粧品",9938078,1500
"化粧品",9921707,9900
"化粧品",9920251,5940
"化粧品",9935132,1700
"化粧品",9933405,590
"化粧品",9901526,15000
"食品",9903813,21736
"化粧品",9920708,1700
"化粧品",9904316,15226
"化粧品",9915871,7438
"化粧品",9912376,4200
"バッグ",9913658,16995
"化粧品",9914252,1480
"化粧品",9935792,3576
"化粧品",9927207,12091
"化粧品",9911927,8400
"化粧品",9902143,8642
"化粧品",9913382,4540
"化粧品",9900473,134
"化粧品",9911547,2668
"化粧品",9917944,2166
"化粧品",9939081,14603
"化粧品",9905360,14165
"化粧品",9939083,6106
"食品",9902241,1550
"バッグ",9925023,2452
"化粧品",9905675,8250
"バッグ",9902198,1044
"バッグ",9912173,12001
"バッグ",9908232,1352
"バッグ",9913268,523
"食品",9912706,5670
"バッグ",9902835,41372
"化粧品",9908506,28911
"食品",9907198,37800
"化粧品",9900616,6897
"化粧品",9907187,16325
"化粧品",9906573,1950
"化粧品",9906410,106
"バッグ",9936688,68370
"化粧品",9917994,1638
"化粧品",9908906,295
"バッグ",9911954,2434
"化粧品",9903405,580
"化粧品",9909353,770
"食品",9928812,6521
"化粧品",9931382,4627
"化粧品",9900610,3712
"化粧品",9939100,2477
"化粧品",9931383,2477
"バッグ",9908342,2760
"化粧品",9939101,2430
"化粧品",9939052,2997
"化粧品",9912112,900
"化粧品",9931414,6750
"化粧品",9939115,1535
"化粧品",9937250,1191
"バッグ",9918493,16421
"化粧品",9939119,3239
"化粧品",9909272,1367
"バッグ",9905789,360
"バッグ",9903208,380
"化粧品",9939114,1580
"食品",9938054,954
"化粧品",9939118,1682
"化粧品",9939111,4503
"化粧品",9939116,1891
"化粧品",9901823,20706
"バッグ",9908174,1120
"化粧品",9901818,8036
"バッグ",9921278,403
"バッグ",9911752,475
"化粧品",9939120,3668
"化粧品",9932593,3002
"食品",9903864,420
"化粧品",9918788,20087
"食品",9939108,2180
"食品",9904035,2307
"バッグ",9904499,8132
"食品",9939110,3044
"化粧品",9925851,9804
"化粧品",9913753,3149
"化粧品",9926275,6940
"食品",9939106,751
"化粧品",9939112,1834
"バッグ",9908743,5130
"化粧品",9926679,3268
"バッグ",9916238,2322
"バッグ",9924991,14897
"バッグ",9904475,16421
"バッグ",9908747,19020
"バッグ",9906549,22089
"化粧品",9939117,3202
"化粧品",9939113,2660
"食品",9908609,7073
"化粧品",9901822,5390
"バッグ",9917143,4744
"バッグ",9917136,1954
"バッグ",9918669,1866
"バッグ",9933842,1133
"化粧品",9939121,352
"化粧品",9910167,6600
"化粧品",9934633,344
"化粧品",9924119,245
"食品",9934219,11582
"食品",9919825,14136
"食品",9926770,20268
"化粧品",9901650,13322
"食品",9907054,3372
"化粧品",9901357,42619
"化粧品",9901353,18429
"食品",9913558,19115
"化粧品",9908243,31004
"食品",9907167,10865
"食品",9902426,15649
"化粧品",9917884,20263
"化粧品",9903373,100041
"バッグ",9916357,7589
"化粧品",9901056,23322
"食品",9939125,1453
"食品",9906392,9086
"化粧品",9912733,27834
"化粧品",9903268,13269
"バッグ",9916514,4050
"化粧品",9906502,15120
"バッグ",9939126,1807
"バッグ",9924251,2622
"化粧品",9901246,2892
"化粧品",9908241,10121
"化粧品",9926276,7508
"化粧品",9923102,6119
"化粧品",9928327,6240
"化粧品",9903778,2813
"食品",9907059,10299
"化粧品",9939128,2755
"化粧品",9900794,865
"化粧品",9923302,6490
"化粧品",9900448,63856
"食品",9923744,5902
"化粧品",9913829,8410
"化粧品",9939134,11232
"化粧品",9908960,4892
"化粧品",9902555,2543
"食品",9939135,10500
"食品",9918171,2366
"化粧品",9903184,6490
"化粧品",9902651,22582
"化粧品",9901055,6600
"バッグ",9915637,37325
"化粧品",9902495,4622
"化粧品",9905247,22660
"食品",9939146,754
"化粧品",9916664,2830
"化粧品",9912031,145
"食品",9918164,2211
"食品",9918160,556
"バッグ",9939145,420
"バッグ",9908921,540
"バッグ",9926439,360
"バッグ",9913607,1248
"化粧品",9906707,3870
"化粧品",9904315,2626
"化粧品",9907078,1320
"化粧品",9907929,2200
"化粧品",9912326,6600
"化粧品",9933460,500
"化粧品",9914031,1975
"食品",9904755,6418
"食品",9906739,88935
"化粧品",9939147,1228
"化粧品",9917459,5460
"化粧品",9906094,171
"化粧品",9933869,200
"化粧品",9912457,2387
"化粧品",9936237,1556
"化粧品",9929989,1556
"バッグ",9905114,305
"化粧品",9908858,1166
"食品",9911985,10639
"食品",9900760,71685
"食品",9931442,315
"バッグ",9910373,24900
"バッグ",9913892,1008
"バッグ",9910914,3836
"化粧品",9902863,9000
"化粧品",9939160,995
"食品",9927247,6392
"食品",9920186,2508
"食品",9939164,1995
"化粧品",9921360,1615
"化粧品",9939166,2755
"バッグ",9939165,1418
"化粧品",9934017,2660
"食品",9912440,15375
"食品",9917120,6451
"バッグ",9927073,400
"化粧品",9908408,9900
"食品",9900570,22648
"化粧品",9934803,1022
"バッグ",9939173,6360
"バッグ",9915056,624
"バッグ",9901730,592
"食品",9923560,1280
"バッグ",9911558,13257
"化粧品",9939169,1064
"化粧品",9925862,2670
"化粧品",9937400,6480
"化粧品",9903496,18995
"化粧品",9934439,220
"化粧品",9916808,2769
"バッグ",9906141,6664
"化粧品",9903628,180
"化粧品",9921084,28000
"食品",9910133,4064
"化粧品",9912658,230
"バッグ",9905862,68538
"バッグ",9903403,604
"バッグ",9905639,16496
"食品",9939177,3017
"食品",9939179,24141
"食品",9939176,3263
"食品",9939178,2596
"食品",9924135,5257
"バッグ",9901317,89012
"化粧品",9903809,42869
"化粧品",9910354,45925
"化粧品",9907326,73260
"化粧品",9908642,48680
"バッグ",9912291,2176
"食品",9920651,12236
"食品",9937107,5653
"食品",9927803,4010
"食品",9918878,4057
"食品",9917044,10534
"食品",9910579,11306
"食品",9927779,5756
"食品",9939184,7243
"化粧品",9900631,5940
"化粧品",9927605,3465
"バッグ",9901634,12807
"化粧品",9908349,128
"食品",9901044,1940
"化粧品",9939188,1140
"化粧品",9914272,2572
"化粧品",9939190,7020
"食品",9903734,56500
"化粧品",9911928,3800
"化粧品",9925316,2100
"化粧品",9920418,2100
"化粧品",9911925,2100
"化粧品",9937565,2100
"化粧品",9911926,9800
"化粧品",9911929,72000
"バッグ",9932599,39576
"バッグ",9900486,3944
"化粧品",9939239,29900
"化粧品",9939240,2500
"食品",9911197,33820
"化粧品",9931248,6299
"化粧品",9919446,6299
"化粧品",9929195,28798
"化粧品",9910998,28798
"化粧品",9909934,13718
"化粧品",9927806,28158
"化粧品",9906578,398
"化粧品",9917827,796
"バッグ",9910997,173998
"バッグ",9916182,12062
"化粧品",9916016,19787
"化粧品",9917147,66711
"化粧品",9907243,58200
"化粧品",9934104,11170
"バッグ",9902624,580
"化粧品",9913373,16769
"バッグ",9901480,1959
"バッグ",9915755,27081
"食品",9903533,5250
"食品",9903444,7926
"化粧品",9904093,1589
"食品",9931422,8995
"食品",9912184,4777
"食品",9917440,11952
"食品",9918528,4540
"食品",9939262,17460
"食品",9912260,7746
"食品",9939263,10773
"バッグ",9907106,30003
"バッグ",9903584,3321
"バッグ",9908467,8897
"化粧品",9902653,1520
"化粧品",9904574,2301
"食品",9903649,17019
"化粧品",9904631,11000
"化粧品",9904106,4400
"化粧品",9904110,13200
"バッグ",9939264,4300
"化粧品",9925708,3045
"化粧品",9913266,36
"バッグ",9939267,580
"バッグ",9939268,298
"バッグ",9926315,360
"化粧品",9904375,1970
"化粧品",9905805,470
"バッグ",9916283,1720
"バッグ",9922662,2988
"化粧品",9928521,2128
"化粧品",9911991,5911
"化粧品",9908422,13110
"化粧品",9903176,12000
"化粧品",9911543,659
"化粧品",9900267,1713
"化粧品",9908148,3059
"化粧品",9904777,1611
"化粧品",9924624,4400
"化粧品",9907044,21832
"化粧品",9915802,108
"化粧品",9909014,6980
"化粧品",9900467,1680
"バッグ",9906120,1155
"化粧品",9910300,759
"化粧品",9902561,2562
"バッグ",9901037,400
"バッグ",9923094,600
"バッグ",9931597,9210
"バッグ",9900667,585
"バッグ",9939289,570
"バッグ",9917682,300
"バッグ",9909053,600
"化粧品",9939295,2057
"バッグ",9904642,300
"バッグ",9904648,300
"バッグ",9913282,300
"バッグ",9911593,300
"化粧品",9901051,3666
"化粧品",9928991,4056
"化粧品",9902821,3422
"バッグ",9925447,300
"バッグ",9914660,400
"バッグ",9902607,1380
"食品",9916633,3220
"食品",9918914,5319
"食品",9910861,4290
"バッグ",9916625,18032
"バッグ",9903362,1500
"バッグ",9939291,2600
"バッグ",9922633,10427
"バッグ",9930021,274
"バッグ",9938081,200
"バッグ",9922632,410
"バッグ",9909903,32227
"化粧品",9921326,1464
"化粧品",9904587,1520
"化粧品",9902905,159
"化粧品",9902901,3267
"バッグ",9913281,300
"バッグ",9900682,300
"バッグ",9911594,600
"バッグ",9916380,200
"食品",9920982,724
"バッグ",9916289,4738
"バッグ",9927325,380
"バッグ",9912895,531
"食品",9906491,25170
"食品",9929166,2608
"化粧品",9903998,252
"化粧品",9937359,1970
"バッグ",9900511,4357
"バッグ",9911742,735
"食品",9903884,918
"食品",9912084,1423
"化粧品",9911884,69560
"化粧品",9924865,880
"化粧品",9929534,2681
"化粧品",9939299,1620
"化粧品",9939297,1306
"化粧品",9939298,1986
"食品",9935764,1620
"バッグ",9939296,1985
"化粧品",9939300,1870
"化粧品",9909659,46399
"化粧品",9900881,442
"化粧品",9914896,3135
"化粧品",9926441,1040
"バッグ",9939311,1369
"バッグ",9902120,468
"化粧品",9939312,987
"化粧品",9909254,33320
"食品",9901500,5270
"バッグ",9908320,17093
"バッグ",9918276,23329
"バッグ",9918275,8493
"バッグ",9918408,21330
"化粧品",9909252,14220
"バッグ",9923301,1345
"バッグ",9924825,8493
"化粧品",9939313,4830
"バッグ",9924548,800
"食品",9901442,360
"バッグ",9901033,2000
"食品",9919080,230
"食品",9907376,400
"化粧品",9901752,1400
"化粧品",9901527,5930
"化粧品",9928277,840
"化粧品",9929669,12095
"化粧品",9904586,327
"化粧品",9925962,11250
"バッグ",9909247,7210
"化粧品",9900944,1782
"化粧品",9929532,6190
"化粧品",9911891,523
"食品",9906290,3171
"食品",9913663,1538
"化粧品",9903406,900
"化粧品",9902766,680
"化粧品",9908853,1505
"化粧品",9902141,578
"化粧品",9923888,1077
"バッグ",9901310,1200
"化粧品",9914990,6386
"化粧品",9933314,1980
"食品",9914485,2994
"化粧品",9905946,6606
"化粧品",9911215,1911
"食品",9909564,13376
"食品",9910191,5100
"食品",9910923,6462
"化粧品",9904267,6638
"食品",9939320,1036
"バッグ",9906539,910
"バッグ",9909140,9279
"バッグ",9908062,5208
"バッグ",9909891,17286
"バッグ",9930084,4144
"バッグ",9929958,3360
"化粧品",9931512,1139
"バッグ",9906166,6006
"食品",9906758,980
"食品",9928922,630
"食品",9927327,280
"バッグ",9907139,22800
"食品",9927328,280
"食品",9922920,490
"化粧品",9922019,14210
"食品",9906762,735
"食品",9910540,1011
"食品",9939317,1449
"バッグ",9906444,819
"化粧品",9903940,7960
"化粧品",9914124,1038
"食品",9939322,6584
"食品",9905592,50000
"バッグ",9939323,6736
"化粧品",9939324,6318
"食品",9939321,15998
"食品",9904029,25356
"食品",9939327,2900
"化粧品",9907497,20826
"化粧品",9913533,2350
"化粧品",9937551,3692
"化粧品",9939326,976
"化粧品",9939328,3101
"バッグ",9901627,22075
"食品",9921114,5967
"食品",9919165,1539
"化粧品",9932466,6010
"化粧品",9912305,1230
"バッグ",9937907,500
"化粧品",9917962,94781
"バッグ",9921093,6221
"バッグ",9939340,361
"化粧品",9939341,137328
"化粧品",9932474,5815
"化粧品",9923042,2075
"化粧品",9921218,2080
"化粧品",9905497,3174
"化粧品",9902677,15180
"化粧品",9904894,29322
"化粧品",9908365,15960
"化粧品",9907979,2535
"化粧品",9930405,5960
"化粧品",9913785,8940
"化粧品",9905678,2972
"化粧品",9915157,2826
"化粧品",9900317,702
"バッグ",9937780,28044
"化粧品",9909652,720
"化粧品",9906109,530
"食品",9916584,38726
"化粧品",9910673,4950
"化粧品",9939342,3300
"バッグ",9904858,304
"化粧品",9918578,11216
"化粧品",9902767,2700
"化粧品",9918579,82202
"化粧品",9939346,2070
"バッグ",9939345,1492
"食品",9903109,61351
"食品",9926207,1938
"食品",9912130,1938
"食品",9922899,3876
"化粧品",9910814,8585
"化粧品",9939347,5040
"化粧品",9902071,30600
"化粧品",9907269,8470
"食品",9909303,8915
"化粧品",9905884,3610
"化粧品",9905886,2992
"バッグ",9915302,234
"バッグ",9913686,1040
"化粧品",9914724,9190
"バッグ",9907593,171
"バッグ",9908577,457
"食品",9911713,170
"食品",9911962,273
"バッグ",9902099,20889
"化粧品",9906846,1400
"バッグ",9917989,1594
"バッグ",9900044,9240
"化粧品",9904637,1394
"化粧品",9902654,1530
"化粧品",9902699,495
"化粧品",9900873,20388
"食品",9908510,4426
"食品",9939359,16899
"化粧品",9939358,538
"化粧品",9906376,5211
"化粧品",9931903,6256
"化粧品",9900400,17852
"バッグ",9939392,1014
"バッグ",9939391,650
"化粧品",9908924,2891
"化粧品",9909101,316
"化粧品",9913853,98520
"バッグ",9939400,10189
"バッグ",9939401,4750
"食品",9903040,27661
"食品",9939402,6963
"化粧品",9909366,36700
"食品",9918717,6930
"化粧品",9935780,1483
"バッグ",9918371,3371
"バッグ",9928696,1200
"化粧品",9920170,1046
"化粧品",9936814,5332
"化粧品",9921451,1842
"バッグ",9901930,45267
"化粧品",9901455,27800
"バッグ",9935266,600
"食品",9905315,75865
"化粧品",9902371,31800
"化粧品",9937988,16900
"食品",9909808,35820
"化粧品",9911882,81925
"化粧品",9939409,760
"食品",9902655,11155
"バッグ",9912831,4560
"化粧品",9911534,11250
"バッグ",9924471,1680
"バッグ",9939414,1260
"食品",9923755,15692
"化粧品",9917767,90
"化粧品",9902828,14550
"バッグ",9939415,4722
"バッグ",9939416,5228
"化粧品",9908035,2400
"化粧品",9905472,70
"化粧品",9915315,5760
"化粧品",9923794,9965
"化粧品",9908203,876
"化粧品",9937331,1015
"化粧品",9907186,80
"バッグ",9939433,2594
"化粧品",9905912,630
"化粧品",9920014,2052
"化粧品",9920013,1859
"化粧品",9927939,8618
"化粧品",9933786,8100
"バッグ",9901218,16726
"化粧品",9922817,3672
"化粧品",9913946,1374
"化粧品",9906038,16680
"食品",9907738,2308
"バッグ",9939441,1746
"化粧品",9902662,398
"バッグ",9935426,21048
"バッグ",9912475,300
"バッグ",9903149,600
"化粧品",9915825,3344
"バッグ",9929515,300
"バッグ",9901028,800
"バッグ",9909994,400
"バッグ",9905771,400
"バッグ",9921206,400
"バッグ",9905900,4215
"バッグ",9929561,3512
"化粧品",9937534,7000
"化粧品",9939446,4085
"化粧品",9920159,3800
"化粧品",9932401,75000
"化粧品",9929938,136500
"バッグ",9912666,342
"化粧品",9915233,30270
"バッグ",9930835,22620
"化粧品",9910041,41250
"食品",9912248,4170
"化粧品",9904097,1098
"食品",9915926,432
"バッグ",9911627,35385
"化粧品",9926227,4485
"化粧品",9909504,14751
"化粧品",9909507,10900
"化粧品",9909706,7920
"化粧品",9907635,3960
"バッグ",9939459,14350
"化粧品",9900321,460
"化粧品",9905463,2331
"食品",9920754,5950
"バッグ",9939461,17556
"食品",9934189,9529
"食品",9925887,8672
"食品",9926566,1653
"バッグ",9914157,5819
"食品",9923418,2043
"化粧品",9933972,5634
"バッグ",9939460,4517
"食品",9939464,4275
"化粧品",9903196,47313
"食品",9939466,1842
"化粧品",9915795,8316
"バッグ",9904185,28615
"食品",9908634,660
"化粧品",9904355,1311
"バッグ",9905914,12893
"食品",9900401,12508
"食品",9916320,3684
"食品",9912650,5586
"食品",9905526,8291
"食品",9920386,7865
"食品",9911897,4823
"食品",9915136,1938
"食品",9939471,2031
"食品",9939470,1842
"食品",9905531,8744
"食品",9920387,5458
"食品",9916546,7865
"食品",9939473,1547
"食品",9939472,3762
"化粧品",9920697,10920
"食品",9918730,2262
"化粧品",9925905,2940
"食品",9920716,3779
"食品",9914058,4062
"食品",9929809,2031
"食品",9909227,1844
"バッグ",9914946,300
"化粧品",9903887,700
"バッグ",9901405,6310
"化粧品",9910022,3300
"化粧品",9910018,1720
"食品",9934565,57
